N,Maximum Error,,,,,,(4¦Ð^2)/(3N^2 ),,3.1415926
10,1.1896,1.619027658,,0.0253625,,,,,0.131594721
20,0.734762,1.902188095,,0.00660142,,,,,0.03289868
40,0.386272,1.975381374,,0.00164629,,,,,0.00822467
80,0.195543,1.993833222,,0.000411318,,,,,0.002056168
160,0.0980739,1.998457457,,0.000102814,,,,,0.000514042
320,0.0490748,1.999616985,,2.57024E-05,,,,,0.00012851
640,0.0245421,1.999910362,,6.42554E-06,,,,,3.21276E-05
1280,0.0122716,1.999967405,,1.60638E-06,,,,,8.0319E-06
2560,0.0061359,1.999993481,,4.01596E-07,,,,,2.00798E-06
5120,0.00306796,2,,1.004E-07,,,,,5.01994E-07
10240,0.00153398,2,,2.51018E-08,,,,,1.25499E-07
20480,0.00076699,2,,6.27202E-09,,,,,3.13746E-08
40960,0.000383495,1.999994785,,1.57352E-09,,,,,7.84366E-09
81920,0.000191748,2.000004172,,,,,,,1.96091E-09
163840,9.59E-05,,,,,,,,4.90229E-10
327680,4.79E-05,,,,,,,,1.22557E-10
655360,2.40E-05,,,,,,,,3.06393E-11
,,,,,,,,,#DIV/0!
,,,,,,,,,#DIV/0!
